City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Port Lincoln,AU,2022-10-02 06:41:24,-34.7333,135.8667,63.63,65,99,11.27
101,Castro,BR,2022-10-02 06:41:25,-24.7911,-50.0119,53.91,96,5,2.3
102,Tiksi,RU,2022-10-02 06:41:25,71.6872,128.8694,23.9,84,100,16.08
103,Taseyevo,RU,2022-10-02 06:41:26,57.2169,94.8978,35.4,85,100,8.14
104,Port-Gentil,GA,2022-10-02 06:41:26,-0.7193,8.7815,75.16,100,75,3.44
105,Baykit,RU,2022-10-02 06:41:26,61.67,96.37,34.3,66,100,9.91
106,Mecca,SA,2022-10-02 06:38:42,21.4267,39.8261,93.33,28,0,6.04
107,Kruisfontein,ZA,2022-10-02 06:41:27,-34.0033,24.7314,57.88,55,6,6.11
108,Akure,NG,2022-10-02 06:41:27,7.2526,5.1931,71.15,96,100,2.95
109,Arraial Do Cabo,BR,2022-10-02 06:41:27,-22.9661,-42.0278,67.35,88,83,12.75
110,Half Moon Bay,US,2022-10-02 06:41:28,37.4636,-122.4286,64.2,84,100,10.36
111,Khoy,IR,2022-10-02 06:41:29,38.5504,44.9535,69.75,30,0,2.1
112,Katsuura,JP,2022-10-02 06:41:29,35.1333,140.3,75.54,67,39,12.24
113,Teruel,ES,2022-10-02 06:41:29,40.6667,-0.6667,55.63,47,8,4.38
114,Nouadhibou,MR,2022-10-02 06:41:30,20.931,-17.0347,69.76,77,0,15.43
115,Norman Wells,CA,2022-10-02 06:41:30,65.282,-126.8329,37.44,87,100,20.71
116,Naryan-Mar,RU,2022-10-02 06:41:31,67.6713,53.087,40.59,87,100,10.36
117,Sabha,LY,2022-10-02 06:41:31,27.0377,14.4283,85.98,20,0,12.91
118,Albany,US,2022-10-02 06:41:31,42.6001,-73.9662,54.01,81,3,9.86
119,Port Augusta,AU,2022-10-02 06:41:32,-32.5,137.7667,77.94,24,77,12.06
120,Kisanga,TZ,2022-10-02 06:41:32,-7.4362,37.7034,82.74,48,10,4.34
121,Puerto Carreno,CO,2022-10-02 06:41:32,6.189,-67.4859,72.75,95,100,1.68
122,Belomorsk,RU,2022-10-02 06:41:33,64.5232,34.7668,41.9,66,9,1.7
123,Sajanan,TN,2022-10-02 06:41:33,37.0573,9.2426,61.72,64,0,9.01
124,Andros,GR,2022-10-02 06:41:34,37.8333,24.9333,79.36,65,0,8.99
125,Rach Gia,VN,2022-10-02 06:38:55,10.0167,105.0833,80.89,83,100,7.23
126,Fukue,JP,2022-10-02 06:41:34,32.6881,128.8419,77.36,83,75,8.05
127,Chuy,UY,2022-10-02 06:41:35,-33.6971,-53.4616,51.49,95,30,4.56
128,Bambous Virieux,MU,2022-10-02 06:41:35,-20.3428,57.7575,77.22,53,75,11.5
129,Wanning,CN,2022-10-02 06:41:35,18.8003,110.3967,84.92,71,93,6.89
130,Darab,IR,2022-10-02 06:41:36,28.7519,54.5444,87.21,11,0,3.11
131,Nikolskoye,RU,2022-10-02 06:41:36,59.7035,30.7861,45.79,76,96,3.85
132,Axim,GH,2022-10-02 06:41:37,4.8699,-2.2405,76.12,88,78,3.94
133,Newala,TZ,2022-10-02 06:41:37,-10.9431,39.2787,77.79,43,0,7.09
134,Nyrob,RU,2022-10-02 06:41:38,60.733,56.7202,46.13,76,100,9.17
135,Emerald,AU,2022-10-02 06:41:38,-23.5333,148.1667,82.35,36,91,3.15
136,Cherskiy,RU,2022-10-02 06:42:39,68.75,161.3,30.45,99,100,3.06
137,Karasjok,NO,2022-10-02 06:42:39,69.4719,25.5112,35.87,100,100,3.71
138,Hithadhoo,MV,2022-10-02 06:42:39,-0.6,73.0833,81.95,70,97,17.02
139,Henties Bay,NA,2022-10-02 06:42:40,-22.116,14.2845,59.14,79,5,7.11
140,Carnarvon,AU,2022-10-02 06:42:40,-24.8667,113.6333,73.65,57,2,18.86
141,Saint-Philippe,RE,2022-10-02 06:42:40,-21.3585,55.7679,76.59,65,24,11.34
142,Mar Del Plata,AR,2022-10-02 06:41:40,-38.0023,-57.5575,54.09,82,0,8.99
143,Torbay,CA,2022-10-02 06:42:41,47.6666,-52.7314,50.76,88,100,10.36
144,Cuajinicuilapa,MX,2022-10-02 06:42:41,16.4667,-98.4167,73.17,94,73,3.62
145,Muros,ES,2022-10-02 06:42:42,42.7762,-9.0603,58.15,96,92,5.46
146,Fare,PF,2022-10-02 06:42:42,-16.7,-151.0167,78.24,73,89,14.16
147,Weston,US,2022-10-02 06:40:46,26.1004,-80.3998,77.02,89,100,5.75
148,Maumere,ID,2022-10-02 06:42:42,-8.6199,122.2111,84.25,70,52,0.74
149,Cidreira,BR,2022-10-02 06:42:43,-30.1811,-50.2056,56.14,94,16,7.29
150,Hilo,US,2022-10-02 06:42:43,19.7297,-155.09,74.93,87,40,5.75
151,Ahipara,NZ,2022-10-02 06:42:43,-35.1667,173.1667,59.0,95,100,13.38
152,Raymondville,US,2022-10-02 06:42:44,26.4815,-97.7831,66.31,63,10,4.05
153,Provideniya,RU,2022-10-02 06:42:44,64.3833,-173.3,36.54,78,26,11.07
154,Houma,US,2022-10-02 06:40:03,29.5958,-90.7195,61.0,86,0,5.75
155,Nanortalik,GL,2022-10-02 06:42:45,60.1432,-45.2371,38.19,82,100,7.99
